Дата фактической выплаты,Бумага,ISIN,Торговый код,Номер платежа,"Ставка купона, % годовых","Сумма купона, RUB","Погашение номинала, RUB"
2026-03-25 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,21,8.5,42.38,0.0
2026-09-23 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,22,8.5,42.38,0.0
2027-03-24 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,23,8.5,42.38,0.0
2027-09-22 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,24,8.5,42.38,0.0
2028-03-22 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,25,8.5,42.38,0.0
2028-09-20 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,26,8.5,42.38,0.0
2029-03-21 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,27,8.5,42.38,0.0
2029-09-19 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,28,8.5,42.38,0.0
2030-03-20 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,29,8.5,42.38,0.0
2030-09-18 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,30,8.5,42.38,0.0
2031-03-19 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,31,8.5,42.38,0.0
2031-09-17 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,32,8.5,42.38,1000.0
0,26219,RU000A0JWM07,SU26219RMFS4,1,7.75,19.32,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,2,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,3,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,4,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,5,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,6,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,7,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,8,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,9,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,10,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,11,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,12,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,13,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,14,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,15,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,16,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,17,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,18,7.75,38.64,0.0
